smiles,group_0,top1_0,top2_0,group_1,top1_1,top2_1,group_2,top1_2,top2_2
C(#N)[S-].[NH4+],0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
C(=O)(O)O.[Mg+2],0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
C(C(CO)(CO)[N+](=O)[O-])O,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
C(C(COP(=O)([O-])[O-])O)O.C(C(COP(=O)([O-])[O-])O)O.C(C(COP(=O)([O-])[O-])O)O.[Fe+3].[Fe+3],0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+],0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
C1=CC=C2C(=C1)C=NN=C2NN,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
CC(=O)NC1=CC=CC=C1,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC.C1=CC=C2C(=C1)C=NN=C2NN,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
P,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+],0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
CCCCCCCCCCCCCC(=O)OCCCCCC,0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
[OH-].[O-][Cr](=O)(=O)[O-].[O-][Cr](=O)(=O)[O-].[K+].[Zn+2].[Zn+2],0,Odorless,odorless,22,Odorless,odorless,23,Odorless,odorless
CCC(=O)C1=NC(=CS1)C,1,fruity,green,10,green,fruity,45,green,fruity
CCCC1=NC(=C(S1)CC)CC,1,fruity,green,10,green,fruity,45,green,fruity
CCCCCC=C(C)C=O,1,fruity,green,10,green,fruity,45,green,fruity
CCC=CCCCO,1,fruity,green,10,green,fruity,45,green,fruity
CCCCC=COC(=O)C=CCCC,1,fruity,green,16,apple,fruity,0,apple,fruity
CCCC#CCCC(=O)OC,1,fruity,green,10,green,fruity,45,green,fruity
C/C=C(/C)\C=O,1,fruity,green,10,green,fruity,45,green,fruity
CC(C)CCCC(=O)OCC(C)C,1,fruity,green,10,green,fruity,45,green,fruity
C[C@H](CCC1=CC=CC=C1)OC(=O)C,1,fruity,green,10,green,fruity,45,green,fruity
CCCCCC(=O)OCC(C)OC(=O)CCCCC,1,fruity,green,10,green,fruity,45,green,fruity
C1=CC=C(C=C1)C(COC=O)OC=O,1,fruity,green,10,green,fruity,45,green,fruity
CC(=CCC/C(=C/COC(=O)C1=CC=CC=C1O)/C)C,2,balsamic,floral,20,rose,floral,15,rose,floral
C1=CC=C(C=C1)C=CC(=O)OC2=CC=CC=C2,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
C1=CC=C(C=C1)COCC2=CC=CC=C2.C1=CC=C2C=C(C=CC2=C1)O,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
CC(C)COC(=O)C1=CC2=C(C=C1)OCO2,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
CCC1(CCC(=O)O1)CC2=CC=CC=C2,2,balsamic,floral,29,balsamic,Balsamic,18,balsamic,Balsamic
CC1=CC[C@H](CC1)C(C)(C)OC(=O)/C=C/C2=CC=CC=C2,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
CC1(CCC(CC1O)C(C)(CO)O)O,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
CC(COC(=O)CC1=CC=CC=C1)O,2,balsamic,floral,29,balsamic,Balsamic,18,balsamic,Balsamic
CC(CCO)C1=CC=CC=C1,2,balsamic,floral,20,rose,floral,15,rose,floral
CC(CCCC(C)CO)CCC=C(C)C,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
CC(C)[C@@]12CC[C@]([C@@H]1C2)(C)O,2,balsamic,floral,29,balsamic,Balsamic,18,balsamic,Balsamic
COC1=CC=CC=C1/C=C/C(=O)O,2,balsamic,floral,29,balsamic,Balsamic,18,balsamic,Balsamic
CCCCCCCCOC(=O)C1=CC=CC=C1O,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\C)\C)\C)/C)/C)/C)C,2,balsamic,floral,29,balsamic,Balsamic,18,balsamic,Balsamic
CC(C)C1=CC=C(C=C1)CC(C)COC(=O)C,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
CC(C)CC1=CC=C(C=C1)CCC=O,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
C1=CC=C(C=C1)C(=O)OCCOC2=CC=CC=C2,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
C1=CC=C(C=C1)COC(=O)C=CC2=CC=CC=C2,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
C1=CC=C(C=C1)C=CC2=CC=CC=C2,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
C1=CC=C(C=C1)CCC(=O)C2=CC=CC=C2,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
CCOCOCC=CC1=CC=CC=C1,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
COC1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
C[C@@H]1CCC(=C(C)C)CC2=C1CC[C@H]2C,2,balsamic,floral,29,balsamic,Balsamic,18,balsamic,Balsamic
COC1=C(C=CC(=C1)C=O)O.COC(=O)C1=CC=CC=C1N,2,balsamic,floral,21,balsamic,floral,38,balsamic,floral
C1=CC(=CC2=C1C=CC(=O)O2)O,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC(C)C1=CC=C(C=C1)CC(=O)O,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC(=C1CC=C(C1)C(=O)C)C,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC1=C[C@@H]([C@H](CC1)C(C)C)O,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC(CC1=CC=C(C=C1)OC)S,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CCC1=C(C=NC=C1)C,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC1CCC2C(C1=O)C2(C)C,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC1CCC(=CC1)C(=O)C,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CCC(=O)OC1=C(C=CC(=C1)C)C(C)C,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CCC/C=C/1\C2=CC=CC=C2C(=O)O1,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CCCC=C1C2CC=CC=C2C(=O)O1,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC1(C2C[C@@H](C(=C)C1C2)O)C,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
COC1=CC(=O)OC2=CC=CC=C21,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CCCCCCCOC(=O)C1=CC=CC=C1O,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CCOC(=O)/C(=C\C)/C,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC(=C)C1=CC=CC=C1,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC(C)C1CCC(C=C1)(C)O,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
C/C/1=C\CCC2([C@H](O2)CC(/C=C/C1)(C)C)C,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC1=C[C@@H]([C@@H](CC1)C(C)C)O,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC(C)C=C1C2=CC=CC=C2C(=O)O1,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
CC(C)C(=CC1=CC=CC=C1)C=O,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
COC1=CC=CC=C1C(=O)OOC,4,herbal,spicy,2,herbal,floral,42,herbal,spicy
C[N+](C)(C)CC(=O)[O-],5,bland,Bland,19,bland,Bland,17,bland,Bland
CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC(C)C,5,bland,Bland,19,bland,Bland,17,bland,Bland
